system,789954560,M0kuOBZaEoxkq4PvLz9lEpI8zpsg7tDw7mniRxSzK3g=
system_ext,1012535296,Rrx7jlbihe4i5mMldGi/+9FDg8g1g7Siu37wY/9/x/k=
product,3866624,9Hl17dzWrC5F/pAiA2uDkP6FCekekpwOdqsJ6wiNT1k=
vbmeta_system,4096,zqphVSZot4mRAdTaflgNFIqaftUaOBo+b4FBiLZYogk=
boot,41943040,7MrLcdIcMPE9wpViT9QKO9OWqpHsI6Jkf6wMZWim/mo=
vendor,541335552,bx0rNHJucZLDYn6u/7xyoMvYq5ajInRdsguOge5Z2gY=
my_bigball,597639168,Xd/HXFie0DJArJ1PS/DI0O2rCjsRtWJEPNB79tlydVY=
my_carrier,335872,4X8zkWbJ9kuDLTeYHIvZUG1ETRhwOVYsE9QGMVAK3vc=
my_engineering,335872,7nBF3Nd1q/hohQCF9zZNwjjT6wHw/qjiKriNHoIoq0A=
my_heytap,335872,RuiAOtSUfrtU5CnZNCftRE1Ol5UwseBwiHTb4E8mtLI=
my_manifest,536576,dP7w9hUcMe3kBLBLAwsc0eNbcUL6SoCh2hQ3Bj/xVbw=
my_product,1408974848,4FeYgAnCwB1sP5P5g+CY4q8T0IZlPRP1uVTI2NHP0aY=
my_region,47243264,0R6wNQn0UT6chELnHtmqIYkqxTMIOaFwEFs0cTQP434=
my_stock,2828992512,263mvrR/zPaTIpQDxDyenDZVHeHw2QCIokOt14dN1Ew=
odm,1120079872,tYupNRD3gtOTfCVGOKY1z/VZtYbzjpd7WZTNFmgC4kY=
preloader_raw,512000,Sd/1kGz/UvmwmP6mUGunb3E/P/wIAtF5ru+Z/ul0IHQ=
vbmeta,8192,EszmF+L9oS3ubYFWuetDQAoIZU5X/Pq3WJqTQhTskbs=
vbmeta_vendor,4096,wVUM6ydKRVHkFSb4GbLCQIeAQBCXB/bjaSosBf1l/WE=
md1img,68730880,XpfmGhMzhYmGeh8g3CPtgtAAavE4JRVREWlX1UycWc0=
spmfw,16384,rU9vxJ/HREUzPYE+C9BfH0wrRP41Ph3URGOPxOZN4Ik=
audio_dsp,3649536,OvPEEuQYJ0v6eDKojrTjYAscllKcvg8MuhYoguQ5Q7Y=
pi_img,8192,sgE6wOwKYJG7URCqH5aDc1ER9zlsv0uaallnYcIo13w=
dpm,200704,iARypHb7eVSE5gFIp8dhL3qgeqPIyXUXrkhhwvNLEI0=
scp,1363968,hjD/xAM4VS4/Jaosc29AO1GheiHlKoi3ePs55DSf/8I=
sspm,647168,ifIGmPImmmTmDpsuBs3qyl28tUIAC5mYkJLjaFpC9W4=
mcupm,454656,6oRggHVsveXZ7UVSNxC5fAMlNVftCgV0TjKPtidgy1o=
cam_vpu1,2768896,d0q1AVk2eY6VegQ1mrm+y56PX66s7p2I4ZXnKykC9C8=
cam_vpu2,6508544,SNhgShZTO2TD9MjThMP/X8594XjYi+/9nDnODL92oaE=
cam_vpu3,8192,rlcsnfWgRaaFLmtixZV4htnTkDEfHm7wQ2ABniR31sA=
gz,2801664,XgUL3FWN3JtIit+zHL/HvAKWRq/NujzM0neTEzd37WA=
lk,1892352,baWKP3FnksX+RK0fSecMKSwAhcOwh7mQMVVb3xHZj6s=
vendor_boot,67108864,vCK+m77TcLYn0cmZg233ptX0JaD8IrHw0rplaKvoMX4=
init_boot,8388608,kIBgcnl5TMCLpuG7Eg5wr5snEkfO0klAl/k2zGEmVvw=
dtbo,2363392,DlnxSzLin3UQkg5reNUoNXV5iNyqZapel57x9P29toM=
tee,872448,QxfyMatuq9i9GPt+UfsszVJoIXDguTnGXvEg8GLw8Qw=
cdt_engineering,1048576,cuIvojIbjLqRAbLr7CWcMR9A/juFd2yxPh7GRkgmZkE=
odm_dlkm,348160,EBmHePZzxbM5LkWSIBlefJLdtmtJLNwzND3+2AI/weY=
system_dlkm,6979584,zuljE65lpvbKc6Lt9554R5eWrSdnnOakoqvkyZfjmYc=
vendor_dlkm,19300352,0mIZOuGRKJPAGv6Gd/9yoKUHRvCVrRo+EmI02p5LceQ=
